abbreviation,اختصار
Pattern matching,توافق الأسلوب
Pause,توقف مؤقت
Paused,متوقف (وقتيا),مؤقت التوقيف
Payload,مؤشر الشفافية
Peak indicator,مؤشر الشفافية
Pearson Correlation,نظير
Peephole optimisation,نظير
Peer,نظير
Peer-to-peer,نظير الى نظير
Pen,قلم
Pending signal,إلغاء التنزيلات المتبقية؟
Pending signals,إلغاء التنزيلات المتبقية؟
Percent,بالمئة
Percentage,مئوية
Percentual,مئوي
Perceptron,دورة
Perf,دورة
Period,دورة
Periodic,دورية
Periodic group,مجموع دوري
Peripheral,طرفي,وحدة طرفية
Perl,بيرل
Perl Script,نص بيرل
Permanent,دائم
Permanent file,ملف دائم
Permanent link,رابط دائم
Per-message,مبادلة
Permission,مبادلة
Permutation,مبادلة
Perplexity,إرباك,حيرة
Persistence,استمرار
Persistent,مستمر
Persistent link,ذاكرة مستمرة
Persistent memory,ذاكرة مستمرة
Personal,حاسوب شخصي
Personal Package Archive,أرشيف الحزم الشخصي
Perspective,فرجة,منظور
Pessimising compiler,طور
Peta-,طور
Petabyte,طور
Petaflops,طور,بيتافلوبس
Phase,طور
Phase alternating line,الفيليبين
Phase Change Memory,الفيليبين
Philippines,الفيليبين
Philosophy,فلسفة
Phishing,هاتف,يهتف,خداع إلكتروني
Phone,هاتف,يهتف
Phone book,بريد هاتفي
Phone mail,بريد هاتفي
Phosphor fatigue,محسوس,ملموس,حقيقي الوجود
Phyiscal,محسوس,ملموس,حقيقي الوجود
Physical,محسوس,ملموس,حقيقي الوجود
Physical address,العنوان الملموس
Physical addressing,عنونة ملموسة
Physical file,ملف ملموس
Physical layer,الطبقة الملموسة
Physical memory,الذاكرة الملموسة,الذاكرة الموجودة حقيقيا
Physical memory address,عنوان الذاكرة الملموسة
Pica,اختر الإعدادات,بيكا
Pi-calculus,اختر الإعدادات
Pick aperture,اختر الإعدادات
Picker button,اختر الإعدادات
Picker Settings,اختر الإعدادات
Picking,إختيار,إنتقاء
Pico-,صورة,بيكو
Picosecond,صورة
Pictogram,صورة
Pictograph,صورة
Picture,صورة
Picture element,عنصر صورة
Pictures,رمز المهمة
PID,رمز المهمة
Pie,فطيرة /ج فطائر
Piggybacking,إبرة سلة
Pilot device,إبرة سلة
Pin,إبرة سلة,رقم الهوية
Pin feed,أخذ و رد
Ping,أخذ و رد
Ping-flood,أخذ و رد
Pinging,أخذ و رد
Ping-pong,أخذ و رد,أسلوب بنج بونج
Pin-out,أنبوب
Pipe,أنبوب
Pipeline,معالجة تواردية
Pipeline break,معالجة تواردية
Pipelined,معالجة تواردية
Pipeline processing,معالجة تواردية,التشغيل الأنبوبي
Pipeline stall,مواردة
Pipelining,مواردة
Piping,قرصنة
Piracy,قرصنة
Pirate,قرصان
Pitch,خطوة
Pixelize,عنصورات
Pixels,عنصورات
Pixmap,ساحة,مكان
PKI,ساحة,مكان
Place,ساحة,مكان
Placeholder,ماسك المكان
Placement,مجرد (نص)
Plaid screen,مجرد (نص)
Plain,مجرد (نص)
Plain text,نص مجرد,نص بسيط
Plain window,نافذة كاملة
Plants,منصة
Plastic,منصة
Play,أعزف,شغل,إقرء
Playback,لاعب,قارئ
Play by electronic mail,لاعب,قارئ
Player,لاعب,قارئ,رأس مغنطيسي حساس مخصص لقراءة البيانات المسجلة من الوسائط الممغنطة,أو استرجاعها.
Plenum cable,خطاط
Pleonasm,خطاط
Pling,خطاط
Plonk,خطاط
Plotter,خطاط,راسمة
Plot (verb),تخطيط,خط
Plug,قبس و تشغيل
Pluggable Authentication Modules,ملحق
Plug-in,ملحق
Plug-in editor kit,آلة حاسبة للجيب
Plus,آلة حاسبة للجيب
Plus every,آلة حاسبة للجيب
Pocket calculator,آلة حاسبة للجيب
Pocket computer,حاسوب للجيب
Podcast,نشرة (صوتية),البث الآيبودي,البث البودي
Point,نقطة,يؤشر
Point-and-grunt interface,مؤشر
Pointed domain,مؤشر
Pointer,مؤشر
Pointer grab,جهاز تأشير
Pointer swizzling,جهاز تأشير
Pointing device,جهاز تأشير
Pointing stick,عصا التأشير
Point of presence,نقطة الوجود
Point of sale terminal,مطراف نقطة بيع
Poisson distribution,سياسة
Policy,سياسة
Policy group,شؤون سياسية
Policy issues,شؤون سياسية
Policy repository,البولندية
Polish,البولندية
Polling,جس,استفسار
Polygon,مضلع
Polyline,متعدد الأشكال
Polylithism,متعدد الأشكال
Polymorphic,متعدد الأشكال
Polymorphic lambda-calculus,تعددية الأشكال
Polymorphism,تعددية الأشكال
Polynomial,حدودية
Polynomial-time,حوض
Polynomial-time algorithm,حوض
Polyvinyl chloride,حوض
Pool,حوض,مجمع مخازن وسيطة
Pooled Variance,قائمة منسدلة
Pop,قائمة منسدلة
Pop up,منبثق,منبثقة (نافذة,قائمة إلخ...)
Popup menu,منفذ
Portable,محمول,قابل للحمل
Portal,باب,بوابة
Port (Development),خريطة المنافذ
Porting,خريطة المنافذ
Portmap,خريطة المنافذ
Portmapper,خطاط المنفذ
Port monitor,مراقب المنفذ
Port number,رقم المنفذ
Portrait,طولي
Portugal,برتغال
Portuguese,البرتغالية
Pose,وضعية
Position,موضع
Positional,موقعي,مكاني
Post,رسالة,أرسل (فعل)
Postal Box,صندوق بريدي
Posted write-through,إعلان,ملصق
Poster,إعلان,ملصق
Posterize,تنويت ملحق
Postfix notation,تنويت ملحق
Postfix syntax,موزع البريد
Posting,موزع البريد
Postmaster,موزع البريد
Post Office,مكتب البريد
Post office problem,مشكل مكتب البريد
Post-order traversal,معالج الأحداث
Post Processor,معالج الأحداث,برنامج تشغيل لاحق
Potential difference,جنيه (عملة),رطل (وزن)
Potential master,جنيه (عملة),رطل (وزن)
Potential primary,جنيه (عملة),رطل (وزن)
Pound,جنيه (عملة),رطل (وزن)
Pound on,علامة الجنيه,علامة الرطل (وحدة وزن)
Pound sign,علامة الجنيه,علامة الرطل (وحدة وزن)
Power,قوى,القدرة
Power cycle,إدارة الطاقة
Powerdomain,إدارة الطاقة
Power management,إدارة الطاقة
Power-on,الفحص الذاتي عند الإقلاع
Power-on self-test,الفحص الذاتي عند الإقلاع
Power save mode,نمط ادخار الطاقة
Powerset,ذرائعي,فعلي,واقعي
Ppa,ذرائعي,فعلي,واقعي
PPP,ذرائعي,فعلي,واقعي,بي بي بي
Pragma,ذرائعي,فعلي,واقعي
Pragmatic,ذرائعي,فعلي,واقعي
Pre-allocate,دقة
Precharge,دقة
Precision,دقة,درجة تمثيل العدد
Pre-configured,تعدد المهمات الوقائي
Predecessor,تعدد المهمات الوقائي
Predicate calculus,تعدد المهمات الوقائي
Predicate logic,تعدد المهمات الوقائي
Predomain,تعدد المهمات الوقائي
Pre-emptive multitasking,تعدد المهمات الوقائي
Preference,تفضيل
Preferences,تفضيلات
Prefix,سابقة
Prefix notation,تنويت مبدأ,الصيغة البولندية
Prefix syntax,إصاغة تمهيدية,تهيئة تمهيدية
Preformat,إصاغة تمهيدية,تهيئة تمهيدية
Pre-install,تحضير
Pre-order,تحضير
Pre-order traversal,تحضير
Prepaging,تحضير
Prepare,تحضير
Prepend,معالج سبقي,معالج تمهيدي
Preprocessor,معالج سبقي,معالج تمهيدي
Pre-sales support rep,إكتشاف التواجد
Presence detect,إكتشاف التواجد
Presentation,ضغط
Presentation layer,ضغط
Presets,ضغط
Presiding,ضغط
Press,ضغط
Press and Hold,ضغط مع التعليق
Pretzel key,اتقاء,تجنيب
Prevent,اتقاء,تجنيب
Prevention,حظر,صد
Preventive,وقائي
Previous,السابق
Primary,أولي,مفتاح أساسي
Primary cache,خابية أولية,خابية رئيسية
Primary Colors,ألوان أولية
Primary key,الإطار الأساسي
Primary management domain,الإطار الأساسي
Primary window,الإطار الأساسي
Prime number,عدد أولي
Prime number theorem,رئيسي
Prime time,رئيسي
Primitive,رئيسي,بدائي
Principal,رئيسي
Principal type,نوع رئيسي
Printable,قابل للطباعة,مهيء للطباعة
Print area,مساحة الطباعة
Printed,مطبوع
Printed circuit board,طابعة,لوحة دائرة مطبوعة
Printer port,منفذ الطباعة
Printing,يطبع
Print server,ملقم طباعة
Priority inheritance,وراثة الأولية
Priority interrupt,إنقلاب الأولية
Priority inversion,إنقلاب الأولية
Priority queue,جدولة الأولوية
Priority scheduling,جدولة الأولوية
Private,خاص
Private hostname,إسم مضيف شخصي,إسم مضيف خصوصي
Private key,مفتاح سري
Private-key cryptography,رسائل خاصة
Private Messages,رسائل خاصة
Priviledge,امتياز
Privilege,امتياز
Privileged instruction,تعليمة مميزة,تعليمة ذات إمتياز
Probabilistic,أحتمالية
Probabilistic automaton,إختمال,توقع
Probability,إختمال,توقع
Problem,مشكل
Problem report,تقرير عن مشكل
Problem state,حالة المشكل
Procedural language,لغة إجرائية
Procedure,إجراء
Procedure call,عملية
Process,عملية
Process code,ملف إجراء,ملف معالجة
Process file,ملف إجراء,ملف معالجة
Process ID,رقم الإجراء
Process identifier,معرف الاجراء
Processor bus,زمن (تشغيل) المعالج
Processor farm,زمن (تشغيل) المعالج
Processor time,زمن (تشغيل) المعالج
Process scheduling,جدولة الإجراء,جدولة المعالجة
Process status,حالة الاجراء
Process table,جدول الاجراء
Product,منتج
Production system,نظام إنتاج
Professional services,خدمات مهنية
Profile,برنامج
Profiling data,برنامج
Program counter,عداد برنامج,عداد برمجي,عداد البرامج
Programming,برمجة,لغة برمجة,البرمجة
Programming fluid,لغة برمجة
Programming language,لغة برمجة
Programs,برامج
Program transformation,تقدم
Progress,تقدم
Progress bar,شريط التقدم
Progressive coding,ترميز تقدمي
Prohibit,حظر
Project,مشروع
Project assurance,اسقاط
Projection,اسقاط
Projective plane,ادارة مشاريع
Project management,ادارة مشاريع
Projector,تنظيم مشروع,تدبير مشروع
Project planning,تنظيم مشروع,تدبير مشروع
Prolog,ترقية,مساعدة,برولوج
Promiscuous mode,ترقية,مساعدة
Promote,ترقية,مساعدة
Proof,برهان,إثبات
Proof theory,انتشار
Propagation,انتشار
Propeller key,مفتاح دافع
Properties,خصائص,مواصفات
Property,خاصية ملكية
Proportional,تناسبي,متناسب
Proportional font,رأي,مقترح,إقتراح,فونط نسبي الحيز
Proposition,رأي,مقترح,إقتراح
Propositional calculus,حماية
Propositional logic,حماية
Proprietary,حماية
Protect,حماية
Protected,محمي
Protected mode,وضع محمي
Protected workbook,كتب عمل محمية
Protected workbooks,كتب عمل محمية
Protection,حماية
Protocol analyser,محلل مراسم
Protocol class 0,فئة ميفاق صفرية
Protocol converter,محول ميفاق
Protocole,طبقة الميفاق
Protocol layer,طبقة الميفاق
Protocols,مراسم
Protocol stack,نمذجة
Prototyping,نمذجة
Provably difficult,توفير
Provably unsolvable,توفير
Provide,توفير
Provision,وسيط
Proxy,وسيط,بروكسي (حاسب وكيل)
Proxy gateway,بوابة وسيطة
Proxy server,خادم وسيط
Pseudo,شبه
Pseudo-device,شبه جهاز
Pseudo-random number,عدد شبه عشوائي
Pseudo-terminal,شبه مطراف
Pubic directory,عمومي
Public,عمومي
Public directory,مجلد عمومي
Public domain,مشاع
Public key,مفتاح علني
Public-key cryptography,التعمية بالمفتاح العمومي
Public-key encryption,التعمية بالمفتاح العمومي
Publish,نشر
Publisher,ناشر,دار نشر
Pull,سحب,إجتذاب,جر
Pull-down list,يقطين
Pull-down menu,يقطين,قائمة منسدلة
Pull media,يقطين
Pumpkin,يقطين
Pumpkineer,قرع
Pumpking,قرع
Punch card,بطاقة ثقب,بطاقة مثقبة
Pure functional language,لغة وظيفية صافية
Pure lambda-calculus,لغة وظيفية بشكل صافي
Purely functional language,لغة وظيفية بشكل صافي
Purge,نهاية الصلاحية
Push,دفع
Pushable module,زر ضغط
Pushbuttom,زر ضغط
Push media,وسائط دفع
Put procedure,هرم
Pyramid,هرم
Quadratic,تربيعي
Quadrature,تربيع
Quadruplex,جودة
Quality,جودة
Quality assurance,تأكيد الجودة,ضبط مستوى النوعية
Quality control,التأكد من الجودة
Quality of service,جودة الخدمات
Quantifier,كمية
Quantity,كمية
Quantum,حاسوب كمومي,كمة,المشاركة الزمنية للكم
Quantum computer,حاسوب كمومي,حاسوب كمي
Quantum computing,الحوسبة الكمومية,حوسبة الكم
Quantum do,أربعينية
Quarantine,أربعينية
Quarter,استعلام
Query expansion,علامة الاستفهام
Ques,علامة الاستفهام
Question mark,علامة الاستفهام
Quickstart,بدء (تشغيل) سريع
Quiesce,مغادرة
Quintillion,مغادرة
Quorum,سهم /ج أسهم
Quorum device,حصة,أسهم
Quota,حصة,أسهم
Quotation,اقتباس
Quote,اقتباس
Quoted,مقتبس,مقتطف
Quotelike,قسم
Quotient,قسم,ناتج القسمة
Quoting,مركب من أربعة عناصر مركب رباعي رباعي,اقتباس
Qword,مركب من أربعة عناصر مركب رباعي رباعي
Race condition,حالة تعارض,حالة تسابق
Rack-mounted,خريطة الرادار
Radar map,خريطة الرادار
Radial,شعاعي
Radio,راديو
Radio button,زر انتقاء
Radio group,شعاعية
Radiosity,شعاعية
Radius,نصف قطر
Radix,عدد جذري
RAID,رفع,ريد
Raise,رفع
Random,عشوائي
Random-access memory,أرقام عشوائية,أعداد عشوائية,ذاكرة التوصل العشوائي
Random numbers,أرقام عشوائية,أعداد عشوائية
Random testing,مدى
Range,مدى
Rank,منزلة
Rapid prototyping,خطوط المسح التسامتي
Raster,خطوط المسح التسامتي
Raster file,ملف تسامتي
Raster font,خط نقطي
Rastergram,رسوميات تسامتية
Raster graphics,رسوميات تسامتية,الرسم بخطوط متوازية
Rasterising,معدل,سرعة
Rasterization,معدل,سرعة
Rasterizing,معدل,سرعة
Raster op,معدل,سرعة
Raster subsystem,معدل,سرعة
Rate,معدل,سرعة
Rating,تحديد الدرجة,تقدير
Ratio,نسبة
Rational,معطيات خام(أولية)
Rave on,معطيات خام(أولية)
Raw,معطيات خام(أولية)
Raw data,معطيات خام(أولية),بيانات خام
Raw memory,ذاكرة مجردة
Raw mode,حزة
Ray,حزة
Ray casting,يمكن الوصول إليه,متوصل إليه
Ray tracing,يمكن الوصول إليه,متوصل إليه
Re-,يمكن الوصول إليه,متوصل إليه
Reachable,يمكن الوصول إليه,متوصل إليه
Readable,مقروء
Read-ahead,مقروء فقط
Read-eval-print loop,مقروء فقط
Read only,مقروء فقط,جاهز,متأهب
Readout,جاهز,متأهب
Read-write,جاهز,متأهب
Ready,جاهز,متأهب
Real,حقيقي
Reality check,ذاكرة حقيقية
Real Memory,ذاكرة حقيقية
Real mode,آني
Real number,آني
Real path,آني
Real time,آني
Real-time structured analysis,تحليل بنيوي فوري
Real user,المستخدم الواقعي
Reassembly,إعادة اقلاع
Rebase,إعادة اقلاع
Reboot,إعادة اقلاع
Recalculate,توصيل
Receipt,توصيل
Receive,المستقبل
Received,المستقبل
Receptivity,وصفة,لائحة تحضيرية
Recipe,وصفة,لائحة تحضيرية
Recipient,تعرف
Reconnect,إعادة اتصال
Record (verb),تسجيل
Recovery,استعادة,إفاقة
Rectangle,مستطيل
Rectangular,معاودة
Recurrence,معاودة
Recurse,معاودة
Recursion,معاودة
Recursion theory,تكراري
Recursive,تكراري
Recursive definition,تعريف تكراري
Recursive descent parser,أحمر
Recursive type,أحمر
Red,أحمر,آي آر جي بي ( شدة الأحمر والأخضر والأزرق ),أحمر   أخضر   أزرق
Redemption,استرداد
Redex,إعادة توجيه
Redirect,إعادة توجيه
Redirection,اعادة توجيه
Redirectort,حدث العرض
Redirect output,حدث العرض
Redisplay,حدث العرض
Redocumentation,نقص
Redraw,نقص
Reduce,نقص
Reduction strategy,اعادة التصنيع
Redundant array,اعادة التصنيع
Red zone,اعادة التصنيع
Re-engineering,اعادة التصنيع,إعادة هندسية
Re-entrant,اعادة التصنيع,متعدد الدخول
Ref,اعادة التصنيع
Refactoring,اعادة التصنيع
Reference counting,عد المراجع,عد مرجعي
Referential integrity,تكامل مرجعي
Referentially transparent,شفافية مرجعية,مرجعية الشفافية
Referential transparency,شفافية مرجعية,مرجعية الشفافية
Referer,يدل
Referral,إحالة
Reflexive,عاكس
Reflexive domain,إنعاش
Refresh,إنعاش
Refreshable,قابل للإنعاش
Refreshable braille display,معدل التحديث
Refreshable display,معدل التحديث
Refresh rate,معدل التحديث,معدل الإنعاش
Refuse,رفض
Refutable,مرفوض
Regenerate,إعادة توليد
Regex,قطر,اقليم
Region,قطر,اقليم
Regional network,شبكة اقليمية,شبكة قطرية
Register,تسجيل
Register allocation,منفذ مسجل
Register assignment,منفذ مسجل
Registered port,منفذ مسجل
Register set,التسجيل
Register spilling,التسجيل
Register-true,التسجيل
Registration,التسجيل
Registry,مسجل
Regression,منتظم,تراجع
Regression analysis,منتظم
Regression curve,منتظم
Regression testing,منتظم,اختبار تراجعي كلي
Regular,منتظم
Regular expression,تعبير نمطي
Regular graph,إعادة التثبيت
Regulate,إعادة التثبيت
Reify,إعادة التثبيت
Reincarnation,إعادة التثبيت
cycle of,إعادة التثبيت
Reinstallation,إعادة التثبيت
Reject,رفض
Rejected,مرفوض
Relational algebra,قاعدة بيانات ارتباطية
Relational calculus,قاعدة بيانات ارتباطية
Relational database management system,نمط علائقي,نظام إدارة قواعد البيانات المترابطة
Relational data model,نمط علائقي
Relational language,نمط علائقي
Relational model,نمط علائقي
Relationship,نسبي
Relative,نسبي
Relatively prime,مسار نسبي
Relative path,مسار نسبي
Relative pathname,منقال,بديل
Relay,منقال,بديل,مرحل
Relay host,إصدارة
Released version,وظيفة تمييزية
Relevance,وظيفة تمييزية
Reliable communication,نجدة
Relief,نجدة
Reload,اعادة تحميل
Rely on,يعتمد على
Remailer,باق
Remaining,باق
Remark,ملاحظة
Remind,تذكير
Reminder,تذكير
Remote echo,صدى بعيد
Remote login,مراقبة عن بعد
Remote monitoring,مراقبة عن بعد
Remote procedure call,استدعاء إجراء عن بعد
Remote shell,مزال
Removable,مزال
Removable disk,إزالة
Remove,إزالة
Removed,تغيير الاسم
Render,تصيير (ف. صير)
Rendering,تصيير,الإيحاء بالواقعية
Rendezvous,موعد
Renew,اتجديد
Reorganize,اعادة تنظيم
Repaginate,اعادة اعداد الصفحة
Repagination,اعادة اعداد الصفحة
Repair,تصليح
Repeat,إعادة,تكرار,ترديد
Repeater,مردد,مكرر الإشارة
Repeating group,حلقة تردد
Repeat loop,حلقة تردد
Repetition,استبدل
Repetitive strain disorder,استبدل
Repetitive strain injury,استبدل,آلام الإجهاد المتكرر
Replaceable unit,استبدال,إحلال
Replacement,استبدال,إحلال
Replacement algorithm,يضاعف,يكرر
Replicate,يضاعف,يكرر
Replication,مضاعفة,تكرار
Reply,رد
Reports,تقارير
Repository,مستودع
Representation,طلب
Requeriments,طلب
Request for proposal,تطلب
Require,تطلب
Required,متطلب,إحتياج
Requirement,متطلب,إحتياج
Reseller,قوالب النشاط
Resend,قوالب النشاط
Reserved block,قوالب النشاط
Reserved blocks,قوالب النشاط
Reserved memory,ذاكرة محجوزة
Reset button,زر إعادة للوضع الابتدائي
Resident,مقيم
Resident memory,ذاكرة مقيمة
Residual,متبقي
Resizable,قابل لتغيير القياس
Resize,إعادة تحجيم
Resize handle,ميز
Resize pointer,ميز
Resolutions,القرارات
Resolve,حل,فرق,حلل
Resolver,حال
Resolver library,مورد
Resource bundle,حزمة مورد
Resource control,تحكم بلمورد
Resource element,رقم تعريف العنصر
Resource fork,شعبة مورد
Resource group,مراقب الموارد
Resource monitor,مراقب الموارد
Resource pool,حوض موارد
Resource state,حالة المورد
Resource type,نوع المورد
Respawn,إجابة
Responsible,مسؤول
Restore,استعاد,العودة للأصل
Restrict,اقتصار
Restricted,مقيد
Restriction,اقتصار
Restructuring,اعادة هيكلة
Result,النتيحة
Resume,إستأنف
Rete,جلب
Retrieve,جلب
Retry,حاول مجددا
Return from interrupt,تكرارية الإستعمال
Reusability,تكرارية الإستعمال
Reuse,إعادة الإستعمال,تكرار الإستعمال
Reverse,معكوس
Reversed,معكوس
Reverse engineering,برمجة عكسية
Reverse polish syntax,أعكس الفيديو
Reverse video,أعكس الفيديو,فيديو انعكاسي
Revert,يعكس
Revision,مراجعة
Revocation,سحب,إبطال
Revocation Certificate,يسحب,يبطل
Revoke,يسحب,يبطل
Revolutions per minute,دورات في الدقيقة,عدد الدورات في الدقيقة
Rhombus,معين
Rhythm,إيقاع
Rich object,يمين,صح
Rich Site Summary,يمين,صح
Right,يمين,صح
Right brace,حاصرة يمينية
Right bracket,قوس يمين(ي)
Right-click,ينقر على اليمين
Right join,محاذاة لليمين
Right-justify,محاذاة لليمين
Right outer join,هلال يميني
Right outside,هلال يميني
Right parenthesis,هلال يميني
Rings,حلقت
Rip,نسخ وسائط رقمية,معالج تكوين الصور (ماسح (
Ripcording,روبوت
Robus,دور
Role,دور
Rollback,غرفة,إرجاع
Rolling upgrade,غرفة
Room,غرفة
Root account,حساب جذري
Root bridge,الدليل الجذر
Root directory,الدليل الجذر
Root disk,قرص جذري
Root file system,نظام ملفات جذري
RootKit,نمط جذري
Root mode,نمط جذري
Root node,عقدة جذرية
Root user name,اسم المستخدم الجذري
Root version,ناقذة الجذر
Root Window,ناقذة الجذر
Roses,يدور,دار حول
Rotary debugger,يدور,دار حول
Rotate,يدور,دار حول
Rotation,دوران
Rotational latency,دورات في الدقيقة
Rotation object,دورات في الدقيقة
Rotation objects,دورات في الدقيقة
Rotations per minute,دورات في الدقيقة
Rough translation,ترجمة تقريبية
Round,مدور
Rounded rhombus,مربع مدور
Rounded square,مربع مدور
Round-robin,طريق,تجول دوري
Round-trip time,طريق
Route,طريق,مسار
Routed,موجه
Route flapping,موجه
Routeing,موجه
Routeing domain,موجه
Routine,وتيرة
Routing,توجيه,اختيار المسار
Routing table,جدول توجيه
Row,سطر,صف
Row-level locking,حزمة RPM
RPM package,حزمة RPM
RSS,قاعدة
RSS Feed,قاعدة
Rude,قاعدة
Rule,قاعدة
Ruler,مسطرة
Rulers,تنفيذ
Run,تنفيذ,دليل التشغيل
Run code,مستوى تشغيل
Runic,مستوى تشغيل
Run-length encoding,مستوى تشغيل
Run level,مستوى تشغيل
Runnable process,اجراء تشغيلي
Running applications,زمن التشغيل
Run-time environment,محيط زمن تشغيلي
Run-time error,خطأ زمن تشغيلي
Run-time library,مكتبة زمن تشغيلي
Run-time support,دعم زمن تشغيلي
Run-time system,نظام زمن تشغيلي
Safe,آمن
Safe mode,وضع آمن
Safety,أمن,وقاية
Safety-critical system,ملح
Salt,ملح
Salt substrate,ترحيب,سلام
Salutation,ترحيب,سلام
Salvage,قيمة الخردة
Sample,عينة
Sample Rate,معدل الإعتيان
Sampling,إعتيان,أخذ عينات,أخذ عينات من الإشارة
Sampling frequency,تردد الإعتيان
Sampling rate,معدل الإعتيان
Sandbender,آلية تحديد الوصول
Sandbox,آلية تحديد الوصول
Sanity check,السنسكريتية
Sans,السنسكريتية
Sanskrit,السنسكريتية
Sans serif,غير مذيل
Satisfiability problem,تشبع
Satisfy,تشبع
Saturate,تشبع
Saturation,تشبع,تدرج اللون ونصوعه وصفاؤه,تدرج اللون وصفاؤه وسطوعه,تدرج اللون وصفاؤه وشدته
Save As,قل
Say,قل
Scalability,قابلية التوسع
Scalable,قابل للتمديد
Scalable resource,مورد قابل للترقية,مورد سلمي القياس
Scalable service,خدمة قابلة للترقية
Scaling Factor,معامل القياس
Scan line,خط المسح
Scan path,مسار المسح
Scan register,سجل المسح
Scenario,كتابة مشهد (مفصلة),سيناريو
Scheduel,جدول
Schedueler,مجدول,برنامج جدولة
Schedueling,جدول
Schedule,جدول
Schedule manager,منظم جدولة,مسير جدولة
Schema,مخطط,نسق
Schematic,تخطيطي
Schematic capture,مخطط,خطة
Schematic type variable,مخطط,خطة
Scientific,علمي
Scientific notation,تطبيقات علمية
Scope,نطاق
Scoring,إحراز,أحرز
Scratch disk,قرص خربشة
Scratch file,ملف خربشة,ملف مسودة
Screen blanker,مبيض الشاشة
Screen capture,إلتقاط الشاشة
Screencast,محرر الشاشة
Screen editor,محرر الشاشة
Screenlet,قفل الشاشة
Screen lock,قفل الشاشة
Screen name,قارءى الشاشة
Screen popping,قارءى الشاشة
Screen reader,قارءى الشاشة,شاشة قارئة
Screen refresh,حافظة الشاشة
Screen saver,حافظة الشاشة,حافظ الشاشة
Screen scraper,خادم الشاشة
Screen server,خادم الشاشة
Screen sharing,لقطة شاشة
Screenshot,لقطة شاشة
Screw,مفك,يفسد
Scrip,تمرير
Script,تمرير,نص مكتوب (اسكريبت)
Scripting,تمرير
Scripting language,تمرير,لغة البرامج المساعدة
Script language,تمرير
Scrollable list,لائحة قابلة للزلق
Scroll arrow,سهم التمرير
Scrollbar,شريط الزلق,شريط التلفيف
Scrollbars,صندوق التمرير
Scroll box,صندوق التمرير
Scrolling,الزلق,التلفيف   التبديل باللف
Scroll pane,لوح الزلق
Scrozzle,سكزي
Scruffies,سكزي
SCSI,سكزي,اسكزى
Scuzzy,لف عند الإخراج
SC/XSpread,لف عند الإخراج
Search Domains,مجالات بحث
Searching,سلسلة البحث,عملية البحث
Search string,سلسلة البحث
Search term,مفردة البحث,مصطلح البحث
Second,ثاني
Secondary,ثانوي
Secondary cache,ألوان ثانوية
Secondary Colors,ألوان ثانوية
Secondary key,مفتاح ثاني
Secondary storage,تخزين ثانوي,خازنة مساندة
Second generation computer,حاسوب الجيل الثاني
Second generation language,لغة الجيل الثاني
Second level cache,قسم باب (كتاب)
Second normal form,قسم باب (كتاب)
Section,قسم باب (كتاب)
Sector interleave,خريطة القطاع
Sector interleaving,خريطة القطاع
Sector map,خريطة القطاع
Sector mapping,آمن
Secure,آمن
Secure channel,قناة آمنة
Secure keyboard,أمان
Security,أمان,تأمين
Security breach,سعي
Seed,سعي
Seeking,ساعيا
Segfault,قطعة
Segmentation and reassembly,اختيار
Segmentation fault,اختيار
Segmented address space,اختيار
Select,اختيار
Selector,فحص تلقائي,المنتقى
Self-hosting,فحص تلقائي
Self-test,فحص تلقائي
Selvage,شبه تلقائي
Semantic,شبه تلقائي
Semantic gap,شبه تلقائي
Semantic network,شبه تلقائي,شبكة دلالية
Semaphore,شبه تلقائي,سيمافور
Semiautomatic,شبه تلقائي
Semi bold,إرسال
Semi light,إرسال
Send,إرسال
Sendding,مرسل
Sender,مرسل
Send-Monitor,متجه,إحساس
Sense,متجه,إحساس
Sensitive,حساس
Sensor,مجس,الحساس
Sentence,جملة
Separate compilation,فاصل
September,ايلول
Sequence,متتالية
Sequencer,منظم التتابع
Sequential codec,معالجة متتالية,تنفيذ متتالي
Sequential coding,معالجة متتالية,تنفيذ متتالي
Sequential file matching,معالجة متتالية,تنفيذ متتالي
Sequential processing,معالجة متتالية,تنفيذ متتالي
Serial,متسلسل
Serial console,خط متسلسل,خط تسلسلي
Serialise,خط متسلسل,خط تسلسلي
Serial line,خط متسلسل,خط تسلسلي
Serve,أخدم
Servelet,خادوم
Serverlet,غرفة الخادم
Server room,غرفة الخادم
Servers,خوادم
Server-side,من ناحية الخادم,من قبل الخادم,عند الخادم
Server-side include,خدمة
Serviceability,قدرة الخدمة,الصلاحية
Service interface,واجهة الخدمة
Service provider,موفر الخدمة,موفر خدمة الإنترنت,مزود بلخدمة
Servlet,جلسة
Session layer,تعيين
Set abstraction,إعدادات
Set associative cache,إعدادات
Set complement,إعدادات
Set comprehension,إعدادات
Set-Operation,إعدادات
Set theory,إعدادات
Settings,إعدادات
Settlement,تسوية
Settling time,زمن (الوصول إلى) الاستقرار
Set-top box,إعداد,صندوق فوقي للضبط
Setup (Configuration),إعداد
Setup (Installation),تثبيت
Seven layer model,شدة,قسوة
Severity,شدة,قسوة
Sexadecimal,مظلل
Sha-bang,مظلل
Shader,مظلل
Shading,تضليل
Shadow file,تظليل
Shadowing,تظليل
Shadow ram,شكل غلاف,رام الظلية
Shaft,شكل غلاف
Shallow binding,شكل غلاف
Shape,شكل غلاف
Shaped text,سهم,مشترك
