analog to digit converter,مُحَوِّلُ تَناظُرِيُّ إلى رَقْمِيٍّ
e-voting,التصويت الإلكتروني
Exa,إكسا
exception handler,مُعالِجُ الاِسْتِثْناءِ
exchange, telephone,سِنْتِرالُ تِليفُوناتٍ
exchangeable disk pack,خَرْطُوشَةُ أقْراصٍ تَبادُلِيَّةٍ
exclusive OR gate,بَوَّابَة "أو" المُخَصَّصَةُ
XOR,عَمَلِيَّةُ عَدَمِ التَّطابُقِ
execution to binary,تحويل برامج التنفيذ إلى الصيغة الثنائية
run time,فَتْرَةُ التَّنْفِيذِ
expansion,توسيع
intelligent knowledge based,نِظامٌ مُتَخَصِّصٌ (خَبِيرٌ)
expert systems,نُظُمُ خِبْرَةٍ (نُظُمٌ خَبِيرَةٌ)
expire, to,ينقضي
explode, to,يُمدِد
extended character set,مجموعة الرموز الممتدة
extension,امتداد
extent,مَدَى
extented addressing,عَنْوَنَةٌ مُمْتَدَّةٌ
external interrupt,مُقاطَعَةٌ خارِجِيَّةٌ
external storage,ذاكِرَةٌ خارِجِيَّةٌ
extranet,اكسترانت
extruded shape,شكل منبثق
eyedropper,قطارة
e-zine ( electronic magazine ),إى زين ( مجلة إلكترونية )
,دورية يتم إرسالها عبر البريد الإلكتروني، ويتكلف إعدادها ثمنًا زهيدًا حيث لا توجد تكاليف إنتاج للتصميم أو التخطيط، كما أن تكاليف التوزيع أقل مَّا يمكن والمجلات الإلكترونية، مثلها مثل المجلات المطبوعة، عادة مَّا يكون لها مساهمون متعددون ومحرر مسئول عن اختيار المضمون.
face,وجه
f 2 f,وجهًا لوجه
I enjoyed talking to you, would you like to meet me F2F?,تعبير لإفادة أحد مستخدمي غرف الدردشة بالرغبة في مقابلته وجها لوجه، بدلاً من الاكتفاء بالدردشة عبر الإنترنت. ومن أمثلة ذلك:
Facebook,فيس بوك
FAX,فاكس
functioning as designed,يعمل كما صُمِّمَ
fail safe,مَأْمونٌ عِنْدَ التَّعَطُّلِ
fail safe system,نظام آمن عند تعطله
fail soft,خَفِيفُ التَّعَطُّلِ
fail soft system,نظام يتعطل جزئيًّا
failure,عُطْلٌ- تَعَطُّلٌ
failure recovery,اِسْتِئْنافُ التَّشْغِيلِ بَعْدَ العُطْلِ
failure, mean time between,مُتَوَسِّطُ المُدَّةِ بَيْنَ الأعْطالِ
failure, mean time to,مُتَوَسِّطُ المُدَّةِ قَبْلَ التَّعَطُّلِ
fallback,اللُّجُوءُ
fallback procedure,إجْراءاتُ التَّراجُعِ
false,زائف
false add,جَمْعٌ زائف
false code,شَفْرَةٌ زائفة
false error,خَطَأٌ زائف
family,أُسرَة
fan,مروحة
fan fold paper,وَرَقٌ مِرْوَحِيُّ الطَّيِّ
fan in,حُزْمَةُ الإدْخالِ
fan out,حُزْمَةُ الإخْراجِ
fanboy,مُغرَم
frequently asked questions,أسئلة شائعة
farmer,حاصد
fast access,توَصُّلٌ سَريعٌ
fast Ethernet,إيثرنت سريعة
100 base T,100 مواصفة T- كبلات مجدولة
FIR port,مَنْفَذ سريع للأشعة تحت الحمراء
fatal error,خطأ مميت
parent node,عُقْدَةُ تَفَرُّعٍ
father file,المِلَفُّ الأبُ
fault,خَلَل
fault detection,اِكْتِشافُ الخَلَلِ
fault diagnosis,تَشْخِيصُ الخَلَلِ
fault tolerance,تحمل الأخطاء
fault tolerant system,نِظامٌ تَسامُحِيٌّ
favorite,المفضلة
FAX,فاكْس
fax modem,مودم الفاكس
federal communication commission,وكالة الاِتِّصالاتِ الفيدِرالِيَّةِ
feasibility study,دِراسَةُ الجَدْوَى
feather,خَفت
feature,خاصية
FCC,وكالة الاِتِّصالاتِ الفيدِرالِيَّةِ
federated identity,هوية موحدة
feed,تَغْذِيَة
feed holes,ثُقُوبُ التَّغْذِيَةِ
feed pitch,خَطْوَةُ التَّغْذِيَةِ
feed reel,بَكْرَةُ التَّغْذِيَةِ
feedback queue,طابُورُ التَّغْذِيَةِ الرَّاجِعَةِ
feedback register,مُسَجِّلُ التَّغْذِيَةِ الرَّاجِعَةِ
Femto,فيمتو
fetch-execute cycle,دَوْرَةُ الإحْضارِ والتَّنْفِيذِ
flip-flop,دائِرَةٌ قَلاّبَةٌ
fiber channel,قناة ألياف ضوئية
FDDI,أداة بينية ليفية البيانات
fiber optic cable,كبل ألياف ضوئية
field,حَقْل
FET,ترانْزِسْتورٌ مَجالِيُّ التَّأَثُّرِ (فيت)
field programmable devices,أجْهِزَةٌ قابِلَةٌ للبَرْمَجَةِ
push up list,طابُور
file,مِلَفّ
file descriptor,واصِفُ المِلَفِّ
file directory,دَليلُ المِلَفَّاتِ
file handle,مَمْسَك ملف
file layout,هَيْكَلُ المِلَفِّ
media librarian,أمين مكتبة الوسائط
file maintenance,صيانة الملفات
file management,إدارَةُ المِلفَّاتِ
file name extension,اِمْتِدادُ اِسْمِ المِلَفِّ
file organization,تَنْظِيمُ المِلَفِّ
file processing,تَشْغِيلُ المِلَفَّاتِ، مُعالَجَةُ المِلَفَّاتِ
file protection,وِقايَةُ المِلَفِّ
file recovery,استعادة ملف
file sharing,التشارُك في الملفات
file transfer,نَقْلُ المِلَفِّ
file updating,تَحْدِيثُ المِلَفِّ
File Viewer,منظار ملف
fill character,حَرْفُ حَشْوٍ
fill, to,يملأ
filler,حَشْو
film frame,إطارُ الفيلْمِ
film reader,قارِئَةُ الفيلْمِ
film recorder,مُسَجِّلُ الفيلْمِ
filter,مُرشِّح
filtering, keys,تنقية المفاتيح
Filterkeys,مفاتيح ترشيح
finger,إصبع
finger print,بصمة
finite difference method,طَرِيقَةُ الفُرُوقِ المُحَدَّدَةِ
finite element method,طَرِيقَةُ العَناصِرِ المُحَدَّدَةِ
finite state machine,آلَةٌ مَحْدُودَةُ الحالَةِ
firefox,فاير فوكس
firewall,حاجز حماية
FireWire,فاير واير
firmware,البرمجيات الثابتة
first fit method,طَرِيقَةُ المُلاءمَةِ الأولى
first generation computers,حواسيب الجيلِ الأوَّلِ
fix, to,يُصلِح
fixed head disk drive,جِهازُ أقْراصٍ ثابِتُ الرُّؤُوسِ
fixed length code,شَفْرَةٌ ثابِتَةُ الطُّولِ
fixed length file,ملف ثابت الطول
fixed length record,سجل ثابت الطول
fixed point notation,تَرْقِيمٌ ثابِتُ العَلامَةِ
monospaced font,فونط أحادي الحيز
fixed word length computer,حاسوب الكَلِماتِ الثَّابِتَةِ الطُّولِ
free lossless audio codec,مُحَوِّل صوت قليل الفقد
flag,رايَة
flame,لهب
flame,جدلٌ ملتهبٌ
flame war,حرب اللهب
flash,فلاش
flash memory,ذاكرة ومضية
flash upgrade,تحديث ومْضى
flashpix,فلاش- بكس
FlashSession,جلسة خاطفة
flat file,ملف مسطح
flat screen,شاشة مسطحة
flatbed scanner,ماسح مسطح
diskette,قُرَيْص
flicker,ارتعاش
flight simulator,محاكي الطيران
flip, to,يُدَوِّر
flip-flop,دائِرَةٌ قَلاّبَةٌ
floating point notation,تَرْقِيمُ عائِمُ العَلامَةِ
flood,فيضان
floating point operation,عمليات العلامة العشرية العائمة
diskette,قُرَيْص
erasable optical disk,قرص ضوئي يُمحى
flow chart,خَرِيطَةُ المَسارِ
flow control (Com.),التحكم في التدفق ( الاتصالات )
flu,فلو
flush left,تدفق نحو اليسار
flush right,تدفق نحو اليمين
flythrough,التحليق
frequency modulation synthesizer,موالف تضمين التردد
folder,مجلد
font,بُنْطُ طِباعَةٍ
font cartridge,خرطوشه أبناط
font family,عائلة فونطات
Foo,فو
foot mouse,فأرة قدم
foot print,فأرة يتم تشغيلها بالقدم، وهذا يؤدي إلى تحرير اليدين، لاستخدام لوحة المفاتيح keyboard.
footer,حيز سفلي
footnote,حاشية سفلية
foreground processing,تشغيل أمامي
forensic computing,استخدام الحاسوب في مجالات القضاء
forest,غابَة
forgery,تلفيق
fork,مُشعِب
form,اِسْتِمارَة
form feed,تَلْقِيمٌ بالوَرَقِ
form stop,مُوَقِّفُ التَّلْقِيمِ
formal language,لُغَةُ الصِّياغَةِ
formal logic,المَنْطِقُ الصُّورِيُّ
format, data,صيغَةُ البَياناتِ
formatter,صائِغ
FORTRAN,فورتران
forum,منتدى
FEC,تصحيح متقدم للأخطاء
forward slash,شرطة مائلة للأمام
http: //www.arcbicacademy.org.eg,العلامة / التي توجد على لوحة المفاتيح. وتُستخدم هذه العلامة أيضًا في عناوين الإنترنت كما هو موضح في المثال التالي:
fourth generation,الجيلُ الرَّابِعِ
field programmable gate array,مصفوفة بوابات إلكترونية قابلة للبرمجة في الموقع
fragmentation,تَجَزُّؤ
FRAM,فرام
frame,إطار
frame buffer,ذاكرة للشاشة
frame rate,معدّل تتابع الأُطُر
frame relay,ترحيل الإطار
frame relay,تمرير الأُطر
FPS,عدد الأُطر في الثانية
framing,تَحْدِيدُ الإطارِ
free,مجاني
free net,شبكة مجانية
free software,برمجيات مجانية
FSF,مؤسسة البرمجيات المجانية
free space list,قائِمَةُ الأماكِنِ الخالِيَةِ
Free text search,بحث حر في النص
Freenet,إنترنت مجاني
freeware,برنامج مجاني
freeze - frame video,فيديو ساكن الأُطُر
FMV  ),فيديو تتوالى فيه الأُطُر كلَّ بضع ثوان.
frequency division multiplexer,مُجَمِّعٌ تَرَدُّدِيٌّ
frequency domain,نِطاقُ التَّرَدُّدِ
frequency modulation,تَضْمِينُ التَّرَدُّدِ
fringeware,برمجيات مشكوك فيها
friode,فرايود
front end,واجهة أمامية
front end processor,معالج أمامي للشبكة
front panel,لوحة أمامية
frozen,مُتَجَمِّد
fry, to,يحرِق
files transfer protocol,بروتوكول نقل الملفات
full adder,جَمَّاعٌ تامٌّ
duplex,مُزْدَوِجَةُ الاِتِّجاهِ
full duplex transmission,إرسال مزدوج كامل
FMV,فيديو تام الحركة
full motion video adapter,موائم فيديو تام الحركة
full motion, full screen video,عرض فيديو حركي كامل على الشاشة بكاملها
full page display,عرض صفحة بكامل الشاشة
full rights,حقوق كاملة
full screen,شاشة كاملة
full screen video,فيديو مالئ الشاشة
full text retrieval,اِسْتِرْجاعُ النُّصوصِ الكامِلَةِ
full text search,البحث بكامل النص
How can I fdisk my hard drive ?,مصطلح في مجال محركات البحث search engines يفيد البحث بنص كامل، لكن عادة مَّا تستبعد محركات البحث الكلمات الشائعة من أي نص، وعلى سبيل المثال البحث بالنص:
function key,مِفْتاحٌ وَظِيفِيٌّ
functional design,تَصْمِيمٌ وَظِيفِيٌّ
functional diagram,مُخَطَّطٌ وَظِيفِيٌّ
functional languages,لُغاتٌ وَظِيفِيَّةٌ
functional requirements,مُتَطَلِّباتٌ وَظِيفِيَّةٌ
functional specifications,مُواصَفاتٌ وَظِيفِيَّةٌ
functional unit,وَحْدَةٌ وَظِيفِيَّةٌ
fuse,مُنْصَهِر
fusible link,وُصْلَةٌ قابلة للانصهار (صهورة)
fuzzy logic,مَنطِق غَائم – لا يقيني
Fuzzy theory,نظرية إلغازية
,( انظر: نظم الخبرة  Expert systems )
Good to Go,آن الانصراف
gadget,جهاز مُبتكَر أو مكمِّل (جادجت)
Gaim,ج. ا. ي. م
game theory,نَظَرِيَّةُ المُباراةِ
Gamespy,جيم سباي
gamma correction,تصحيح جاما
gank,مُكتسِح
Gantt chart,مُخَطَّطُ جانت
gap,فُرْجَة
garbage,نُفايَة
garbage collection,جمع النفايات
gate, logic,بَوَّابَةٌ مَنْطِقِيَّةٌ
root,حساب رئيسي
gateway,مَدخَل/مَخَرج - وُصْلَةٌ بَوَّابِيَّةٌ
gigabit interface converter,مُوائم بيني
graphical device interface,مُواجه أجهزة الرسومات
group decision support systems,مجموعة نظم دعم القرار
geek,عاشق الحاسوب
"white-space: pre;">,جي فورس
gender,نوع
GPRS,خدمة حزمة راديو عمومية
GPF,خطأ حماية عامة
GPIB,مَسارٌ تَجْمِيعِيٌّ بَيْنِيٌّ للاِسْتِخْدامِ العامِّ
general purpose computer,حاسوب للاِسْتِخْدامِ العامِّ
generations, computers,أجْيالُ الحواسيب
generator, program,مُوَلِّدُ البَرامِجِ
generic access,تَوَصُّلٌ نَوْعِيٌّ
Geostationary,ثابت بالنسبة للأرض
geo targeting,استهداف جغرافي
geocaching,تحصيل جغرافي
geotagged,مُعَلَّم جغرافيًّا
gesture recognition,تمييز الإيماءات
get,هات
ghost,شبح
ghosting,تشبيح
hash total,مجموع تدقيقي
Gibi,جي بي
graphical interchange format,النسق التبادلي للرسوم
giga,جيجا
gigabit Ethernet,إيثرنت بمعدل جيجا بيتة /ث
GIGO,نُفاياتٌ داخِلَةٌ نُفاياتٌ خارِجَةٌ (جيجو)
garbage in, garbage out,مُدخلات خاطئة- مُخرجات خاطئة
GNU image manipulation program,برنامج جنو للتعامل مع الصور
geographic information systems,نظم المعلومات الجغرافية
GKS,النِّظامُ اللُّبِّيُّ للبَياناتِ
glare screen,حاجبُ التوهجِ
glass house,البيت الزجاجي
glitch,خلل
global,شامِل
global network navigator,ملاح الشبكة العالمية
GPS,النظام الكوني لتحديد المواقع
global variable,مُتَغَيِّرٌ شامِلٌ
gmail,جي ميل
gnutella,جنوتيلا
GO TO "statement",اذْهَب
Googol,جوجول
gopher,جوفر
general protection fault,خطأ حماية عام
general public license,ترخيص عام
graphic pages per minute,عدد صفحات الرسومات في الدقيقة
general packet radio service,الخدمة العامة لباقات الراديو
graphics processing unit,وحدة معالجة رسومات
grabber,لاقط، مُنتزِع
graceful degradation, time sharing,تَدَهْوُرٌ هَيِّنٌ في مشاركة الزمن
grammar checker,مُراجع النحو
granularity,حُبَيْبِيَّة
graph,مُخَطَّط
graph plotter,راسِمَةٌ بَيانِيَّةٌ
graphic language,لغة الرسومات
GKS,نظام كيرنيل للرسوم ( مواصفات الأيزو للرسوم )
graphicist,رسام (بالحاسب)
graphics,بَيانِيَّات
graphics character,رَمْزُ بَيانِيَّاتٍ
graphics controller,مُتحكِّم رسومات
GKS,النِّظامُ اللُّبِّيُّ للبَيانِيَّاتِ
graphics mode,نمط رسومات
G.O. Screen,شاشة لعرض الرسومات
graphics pad,لَوْحَةُ بَيانِيَّاتٍ
graphics tablet,حاسوب رسم
graphics terminal,نِهايَةٌ طَرَفِيَّةٌ للبَيانِيَّاتِ
congratulations,تهنئتي
gray code,كودُ جراي
gray importing,تسويق رمادي
grayscale,التدريج الرمادي
green book,كتاب أخضر
gridlines,خطوط شبكية
griefer,صانع المشاكل
grind, to,يطحن
grounch,عَطَب
ground,أرض
grounding,تأريض
GCR,تخزين مجموعات مُكَوَّدَة
groupware,عتاد المجموعة
groupware,برنامج للاستخدام الجماعي
global system for mobile communication,النظام العالمي للاتصالات بالجوال
guest,ضيف
guest book,دفتر الزيارة
graphical user interface,مُواجه الرسومات لخدمة المستخدم
guild,طائفة
guiltware,برامج استدرار
gulp,جُرْعَة
gutter,ميزاب
gutter,فاصل
,مساحة خالية تُتْرك بين الفقرات أو الصفحات، لجعل الكتابة أيسر قراءةً وأكثر وضوحًا.
H.324,مواصفات الاتصالات على الخطوط التليفونية (H. 324)
hacker,الفضولي
hacker programmer,مُبَرْمِجٌ عابِثٌ
half adder,نِصْفُ جَمَّاعٍ
half duplex,وُصْلَةٌ أُحادِيَّةٌ
half duplex transmission,إرسال مزدوج نصفى
halftone,النِّصْفية
halt,قِف
Hamiltonion cycle,دَوْرَةُ هاملتون
Hamming code,كودُ هامنج
hand held scanner,ماسح يدوي
hand shake,مَراسِمُ بَدْءِ الاِتِّصالِ
Have a nice day,نهارك سعيد
handheld,كَفِّي
handler,مُناوِل
handles,مقابض
hands on,التدرُّب عمليًا
handshake, handshaking,المُصافحةُ
handwriting recognition,التعُّرفُ على خطِ اليدِ
hang up,تَعْلِيقَة
hang up, to,يُنهي المكالمة
hung,مُعَلَق
hard card,البطاقةُ الصُّلبةُ
hard code,نوع من أقراص التخزين التي يشيع استخدامها في فتحة PCMCIA بالحواسيب المحمولة، وهي تتصف بقلة سعتها التخزينية، وبسرعة استعادة البيانات المُخزنة بها.
hard copy,نسخة مطبوعة
hard error,خطأ عَتادي
hard reset,إعادة تشغيل عَتادية
hard return,العودةُ العَتاديةُ
hardcore,الشديد
hardware,المُكَوِّناتُ المادِّيَّةُ
hardwired,مربوط سلكيًا
harvester,الحاصد
hash coding,تَكْوِيدٌ بإعادَةِ الصِّياغَةِ
hashing,فهرسة دالاتيَّة
hazard,خَطَرٌ مَحْتَمَلٌ
high definition digital versatile disc,قرص رقمي عالي الوضوح
hard disk,قُرْصٌ صلب
High definition,عالي الوضوح
hard drive,محرك القرص الصلب
high definition multimedia interface,وصلةٌ بينيةٌ مُتعددةُ الوسائط وعاليةُ الوضوح
handheld device markup language,لغة عرض للأجهزة الكفِّية
high density read only memory,ذاكرة قراءة فقط عالية الكثافة
High bit rate DSL,نظام اشتراك رقمي عالي السرعة
high definition television,تلفاز عالي الوضوح
head,رأس
head, recording,رَأْسُ التَّسْجِيلِ
header,أداة تسجيل البيانات أو استرجاعها في أجهزة التخزين المغنطيسية.
headphones,سمَّاعة رأس
headset,جهاز رأس
heap,ذاكرةٌ مُجنَّبةٌ
heat sink,مُسرِّب الحرارة
Henry,هنري
Hertz, Hz,هرتز
heterogeneous network,شَبَكَةٌ غَيْرُ مُتَجانِسَة
heuristic,إرشادي
heuristic algorithm,خَوارِزْمٌ لا مَنْهَجِيٌّ
hexadecimal,سِتُّ عَشْرِيٍّ
hi,هاي
hibernate, to,يدخل في سُباتٍ
Human Interface Device,جهاز بَيني
hidden line algorithm,خَوارِزْم الخطوط المختفية
hierarchical file system,نظام هرمي للملفات
C:\Program Files\Temp\System,تنظيم هرمي، من أعلى لأسفل،  لمحركات الأقراص drives، والمجلدات folders  والملفات files.  فمثلا في نظام التشغيل  Windows يعني الأمر:
hierarchical network,شبكة هرمية البِنْية
Hierarchical storage,تخزين هرمي
high bit,البيتة العليا
high contrast,تباينٌ عالٍ
high density diskette,قُرَيْصٌ عالي الكَثافَةِ
HDLC,تَحَكُّمٌ عالي المُسْتَوَى في نقل البَياناتٍ
high level format,تنسيق عالي المستوى
high level language,لُغَةٌ رَفِيعَةُ المُسْتَوَى
HMA,منطقة الذاكرة العليا
high pass filter,مُرَشِّحُ التَّرَدُّداتِ العالِيَةِ
HSCSD,دائرة عالية السرعة لتوصيل البيانات
high tech,تكنولوجيا متطورة
highlight,إبراز
highway,المسار السريع
highway network,شبكة اتصالات سريعة
highway width,سعة المسار السريع
Histogram,هستوجرام
history,التاريخ
hit,إصابة
hive,خلية
hue, luminance, saturation,تدرج اللون ونصوعه وصفاؤه
Hercules monochrome adapter,مهايئ عملاق أحادى اللون
hoax,خُدعة
hold time,فترة الاحتجاز
Hollerith code,كودُ "هوليرث"
Hologram,صورةٌ مُجَسَّمة
holographic memory,ذاكِرَةٌ هولُجْرافِيَّةٌ
homogeneous network,شَبَكَةٌ مُتَجانِسَةٌ
honey pot,وعاء العسل
hops,الوثبات
horizontal frequency,التردد الأفقي
host computer,حاسوب مُضيف ( مَثْوَى)
host interface,وَصْلَة بينية مضيفة
host language,لغة مُضيفة
host node,عُقْدَةُ الحاسوب المضيف
host subarea,مِنْطَقَةُ الاستضافة
hosting,استضافة
hot plugging,قبس ساخن
hot swapping,تبديلٌ ساخنٌ
hotfix,إصلاح ساخن
Hotkey,المفتاح الساخن
Hotlink,الرابط الساخن
hotlist,القائمة الساخنة
Hotplugging,التوصيل الساخن
housekeeping,الإعداد لتشغيل البرنامج
hue, saturation, brightness,تدرج اللون وصفاؤه وسطوعه
hue, saturation, intensity,تدرج اللون وصفاؤه وشدته
hypertext markup language,لغة وسم المتن المفرط
hyper text transfer protocol,البروتوكول التشعبي لنقل البيانات
hub,موزِّع مركزي (سرة)
hubbed mode,وضعية المُوَزِّع
hue,ألوان الطيف
user interface,التَّواصُلُ بَيْنَ الإنْسانِ والحاسوب
hybrid computer,حاسوب هجين
hybrid interface,وصلة بينية مُهجنة
hyper Threading,تتبُّع تشعُّبي
hyperlink,رابطة تشعُّبيَّة
hypermedia,وسائط تشعُّبية
hyperspace,تشغيل تشعُّبي
hypertext,متن مفرط
hyphen,واصلة
,واصلة (-) أو شرطة، وهي علامة الترقيم الشائعة الموجودة علي لوحة المفاتيح بجوار  مفتاح "0". ويشيع استخدام الواصلة في مجال البرمجة وتستخدَم أيضًا في الرياضيات لكنها علامةِ طرحٍ.
I/O bus (input/output bus),مَسارٌ تَجْمِيعِيٌّ للإدْخالِ والإخْراجِ
I-beam pointer, I-cursor,مؤشر شعاعي I ، مؤشر I
internet corporation for assigned names and numbers,مؤسسة الإنترنت للأسماء والأرقام المُخصصة
icon,أيقونة
international computer security association,الرابطة الدولية لأمن الحواسيب
integrated drive electronics,وحدة تشغيل إلكترونية متكاملة
identifier,مُعَيِّنُ الهَوِيَّةِ
identity theft,سرقةُ الهويةِ
idle,ساكن
idle character,حَرفُ اِنْتِظارٍ
idle time,زَمَنُ اللاشُغْلِ (زَمَنُ البَطالَةِ)
IEEE  standards,معايير   IEEE
institute of electrical and electronics engineers,معهد مهندسي الكهرباء والإلكترونيات
internet engineering task force,قوة العمل في هندسة الإنترنت
IFF,عُنْصُرُ "إذا وفقط إذا"
fill character,رَمْزُ حَشْوٍ
internet information server,خادم شبكة معلومات
iLife,آي لايف
illegal character,رَمْزٌ غَيْرَ مَقْبُولٍ
illegal instruction,أمْرٌ غَيْرُ مَقْبُولٍ
iMac,آي ماك
image editor,مُحَرِّرُ الصورِ
image enhancement,تعزيزُ الصورةِ
image head adjuster,ضابِطٌ أمامِيٌّ للصُّورَةِ
image map,خريطة صورة
image processing,معالجة الصُّوَرِ
image setter,مُحَدِدُ الصُورِ
image storage space,مَكانُ تَخْزِينِ الصُّورَةِ
image transfer,نَقْلُ الصُّورَةِ
imaging,التصوير
internet movie database,قاعدة الإنترنت للبيانات السينمائية
immediate access storage,ذاكِرَةُ التَّوَصُّلِ الفَوْرِيِّ
immediate addressing,عَنْوَنَةٌ مُباشَرَةٌ
impact printer,طابِعَةٌ بالطَّرْقِ
inherent addressing,عَنْوَنَةٌ ضِمْنِيَّةٌ
import,استيرادُ
inactive window,نافذةٌ غيرُ نَشطةٍ
inbox,صندوقُ  الواردِ
inching,تَقْسِيمٌ دَقِيقٌ
OR-Gate,بَوَّابَةُ "أو"
OR  operation,عَمَلِيَّةُ "أو"
incremental plotter,رَسَّامٌ بخَطَواتٍ
indent,مسافةُ البدء
index,مُؤَشِّر
index mark,علامة الدليل
index register,مُسَجِّلُ المُؤَشِّرِ
indexed addressing,عَنْوَنَةٌ بمُؤَشِّرٍ
indexed file,مِلَفٌّ مُفَهْرَسٌ
indicator,مُبَيِّن
indirect addressing,عَنْوَنَةٌ غَيْرُ مُباشَرَةٍ
ineffective time,فترة زمنية غير فعَّالة
inference,استقراء
inference engine,عنصر الاستنباط
infobahn,طريق معلومات (إنفوبان)
infomercial,معلومات تجارية
informatics,المعلوماتية
information browsing,نظام استعراض المعلومات
information feedback system,نِظامُ التَّغْذِيَةِ الرَّاجِعَةِ للمَعْلُوماتِ
information interchange,تَبادُلُ المَعْلُوماتِ
information lens,عدسة المعلومات
IMS,نِظامُ إدارَةِ المَعْلُوماتِ
information processing,تَشْغِيُل المَعْلُوماتِ
information retrieval,اِسْتِرْجاعُ المَعْلُوماتِ
information security,أمْنُ المَعْلُوماتِ
IS,فاصِلُ المَعْلُوماتِ
information superhighway,مسارُ معلوماتٍ فائقِ  السرعةِ
information technology,تكنولوجيا المَعْلُوماتِ
Information theory,نظرية المعلومات
infotainment,المعلومات والترفيه
infra-red port,مَنفَذ للأشعة تحت الحمراء
infrastructure,بنية تحتية
implied addressing,عَنْوَنَةٌ ضِمْنِيَّةٌ
inherent error,خطأ متأصل
inheritance,التوارث
inhibit signal,إشارَةُ مَنْعٍ
initialization,اِستهلال
initialization,اِبْتِداء
ink-jet printer,طابِعَةٌ نَفَّاثَةٌ
inlining,إدخال سطري
I/O,مُدْخَل / مُخْرَج
input / output register,مُسَجِّلُ المُدْخَلاتِ والمُخْرَجاتِ
input / output units,وَحْداتُ المُدْخَلاتِ والمُخْرَجاتِ
input device,أداة إدْخالٍ
inquiry,اِسْتِعْلام
installation, computer,مُنْشَأَةُ حواسيب
IEEE,معهد مهندسي الكهرباء والإلكترونيات
instruction,أمْر
program counter,عَدَّادُ البَرامِجِ
instruction cycle,دَوْرَةُ الأمْرِ
instruction register,مُسَجِّلُ الأمْرِ
instruction set,قائِمَةُ الأوامِر
integer variable,مُتَغَيِّرٌ صحيح
IC,دائِرَةٌ مُتَكامِلَةٌ
IDE,وحدة تشغيل إلكترونية
intelligent terminal,نِهايَةٌ طَرَفِيَّةٌ ذَكِيَّةٌ
internet network information centre,مركز معلومات شبكة الإنترنت
Interactive graphics,رسوم متفاعلة
interactive mode,نَمَطٌ تَفاعُلِيٌّ
interactive processing,تَشْغِيلٌ تَفاعُلِيٌّ
interface,أداةٌ بَيْنِيَّةٌ
interlacing,تشابك
interleaving,تداخل
interleaving memory,ذاكرة متوالفة
memory,ذاكرة
ICSA,الرابطة الدولية لأمن الحاسبات
international fora,المنتديات الدولية
ITU,الاتحاد الدولي للاتصالات
Internet,الإنترنت ( الشبكة الدولية للمعلومات)
IP,بروتوكول إنْتَرنت
logical address,العنوان المنطقي للعتاد
internetworking,تركيب شبكات
interoperability,التشغيلية التبادلية
interpreter,مُتَرْجِمٌ فَوْرِيٌّ
interpretive language,لغة للترجمة الفورية
Interrogation,استجواب
interrupt,مُقَاطَعَة
interrupt handler,روتين المقاطعة
IH,مناولة المقاطعة
interrupt mask,حجب المقاطعة
interrupt priority,أولوية المقاطعة
interrupt vector,مُتّجَه المقاطعة
interruption network,شَبَكَةُ المُقاطَعَةِ
interval timer,مؤقت فترات
intranet,انترانت
inverted file,مِلَفٌ معكوس
negator,نافِيَة
IPNG,الجيل التالي لبروتوكول الإنترنت
"white-space: pre;">,تطوير لبروتوكول الإنترنت، يتضمن تحسينًا لإجراءات الأمن، وزيادة سعة العنوان بمقدار 16 بيتة ( 2 بايت )
iPad,آي باد
iphone,آي فون
information processing language,لغة معالجة المعلومات
initial program loading,التحميل الابتدائي لبرنامج
ipod,أي بود
iPODCAST, PODCAST,البث الآيبودي، البث البودي
internet packet exchange,مُبدِّل حُزم إنترنت
Information Retrieval,اِسترجاع المعلومات
Infrared,الأشعة تحت الحمراء
chatting,دردشة إنترنت
IRGB (intensity, red, green, blue),آي آر جي بي ( شدة الأحمر والأخضر والأزرق )
irrecoverable read error,خطأ قِراءةٍ لا تُتَداركُ
industry standard architecture,البنية الصناعية القياسية
integrated service digital network,شبكة رقمية متكاملة الخدمات
BRI/ISDN ) basic rate interface/ ISDN),1- الشبكة الرقمية متكاملة الخدمات بوصلة بينية ذات معدل أساسي
PRI/ISDN (primary rate interface/ISDN),2- الشبكة الرقمية متكاملة الخدمات بوصلة بينية ذات معدل أولي
isentrope,خَطُّ تَساوِي الانتروبيا
ISO -7,أيْزو -7
international standard organization,المُنَظَّمُة الدَّوْلِيَّةُ للتَّوْحِيدِ القِياسِيِّ
internet society,مجتمع الإنترنت
internet architecture board,منظمة دولية تتكون من الأفراد، والشركات، والمؤسسات، والمنظمات الحكومية التي تهتم بأمور استخدام شبكة الإنترنت وتطويرها. ومن المنظمات المنبثقة عنها مَّا يأتي:
Forum of Incident Response and Security Team Society news INI Internet Conference,- منتدى الاستجابة الفورية والأمان
isochronous system,نظام متساوي الفترات الزمنية
isochronous transmission,نقل متساوي الفترات الزمنية
isometric view,مشهد أيزومتري (متساوٍ في القياس )
ISONET,شبكة الأيزو
item,بَنْد
iteration,تَكْرار
iterative operation,عَمَلِيَّةٌ تَكْرارِيَّةٌ
Interactive television,التليفزيون التفاعلي
